City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Kiunga,PG,2020-12-23 03:08:27,-6.12,141.29,96.64,44,8,1.77
70,Punta Arenas,CL,2020-12-23 03:08:27,-53.15,-70.92,46.4,65,100,10.29
71,Tura,IN,2020-12-23 03:08:27,25.52,90.22,67.64,58,0,1.5
72,Bo Phloi,TH,2020-12-23 03:08:28,14.32,99.52,75.7,55,68,8.75
73,Puerto Ayora,EC,2020-12-23 03:05:42,-0.74,-90.35,71.01,94,17,6.29
74,Barrow,US,2020-12-23 03:05:11,71.29,-156.79,-9.4,69,1,25.28
75,Severodvinsk,RU,2020-12-23 03:08:28,64.56,39.83,33.8,100,90,4.47
76,Necochea,AR,2020-12-23 03:08:29,-38.55,-58.74,73.99,56,100,12.08
77,Kruisfontein,ZA,2020-12-23 03:08:29,-34.0,24.73,69.01,93,100,8.66
78,Loukhi,RU,2020-12-23 03:08:29,66.08,33.04,32.41,96,100,4.32
79,Araouane,ML,2020-12-23 03:08:29,18.9,-3.53,57.25,40,0,12.62
80,Labuhan,ID,2020-12-23 03:08:29,-6.88,112.21,84.67,71,88,11.34
81,Sovetskaya,RU,2020-12-23 03:08:30,44.78,41.17,30.31,96,96,7.2
82,Acapulco,MX,2020-12-23 03:08:30,16.86,-99.89,80.6,74,20,5.82
83,Saint George,US,2020-12-23 03:05:25,37.1,-113.58,55.4,20,1,5.82
84,Haines Junction,CA,2020-12-23 03:08:31,60.75,-137.51,18.91,93,100,5.19
85,Gbarnga,LR,2020-12-23 03:08:31,7.0,-9.47,66.56,81,57,2.13
86,Kavaratti,IN,2020-12-23 03:08:31,10.57,72.64,81.36,73,11,11.86
87,Humberto De Campos,BR,2020-12-23 03:08:31,-2.6,-43.46,77.13,83,11,4.88
88,Torbay,CA,2020-12-23 03:08:31,47.67,-52.73,41.0,80,90,25.28
89,Mudanjiang,CN,2020-12-23 03:08:32,44.58,129.6,25.97,94,100,7.54
90,Hobart,AU,2020-12-23 03:07:52,-42.88,147.33,69.8,40,40,18.34
91,Port Lincoln,AU,2020-12-23 03:06:54,-34.73,135.87,63.39,56,43,10.04
92,Leningradskiy,RU,2020-12-23 03:08:32,69.38,178.42,-7.49,90,100,12.15
93,Katangli,RU,2020-12-23 03:08:33,51.71,143.23,4.35,75,0,14.85
94,Kaitangata,NZ,2020-12-23 03:08:33,-46.28,169.85,59.0,94,99,8.99
95,Provideniya,RU,2020-12-23 03:08:33,64.38,-173.3,23.0,92,90,24.61
96,Chenzhou,CN,2020-12-23 03:08:33,25.8,113.03,48.76,69,94,3.2
97,Leshukonskoye,RU,2020-12-23 03:08:33,64.9,45.76,33.04,96,100,6.96
98,Yellowknife,CA,2020-12-23 03:08:34,62.46,-114.35,-14.01,75,90,6.93
99,Shashi,CN,2020-12-23 03:08:34,30.31,112.24,51.01,59,1,4.16
100,Dunmore Town,BS,2020-12-23 03:08:34,25.5,-76.65,73.08,67,14,18.57
101,Butaritari,KI,2020-12-23 03:08:34,3.07,172.79,81.09,78,0,16.58
102,Yerbogachen,RU,2020-12-23 03:08:35,61.28,108.01,-12.21,89,97,3.53
103,Cape Town,ZA,2020-12-23 03:04:56,-33.93,18.42,66.99,82,0,2.24
104,Grand Island,US,2020-12-23 03:08:35,40.92,-98.34,50.0,46,1,19.46
105,Pombas,CV,2020-12-23 03:08:35,17.15,-25.02,69.8,68,20,18.34
106,Tonj,SS,2020-12-23 03:08:35,7.27,28.68,72.99,38,100,1.01
107,Port Alfred,ZA,2020-12-23 03:08:36,-33.59,26.89,68.0,93,23,7.31
108,Da Nang,VN,2020-12-23 03:08:36,16.07,108.22,73.4,69,75,1.12
109,Umea,SE,2020-12-23 03:08:36,63.83,20.26,37.4,93,90,14.99
110,Gemena,CD,2020-12-23 03:08:36,3.25,19.77,70.07,56,60,1.05
111,Lebu,CL,2020-12-23 03:08:36,-37.62,-73.65,56.44,85,0,17.87
112,Baguanos,CU,2020-12-23 03:08:37,20.75,-76.03,75.2,88,20,8.05
113,Makarov,RU,2020-12-23 03:08:37,48.63,142.8,21.11,80,10,6.06
114,Nome,US,2020-12-23 03:04:03,64.5,-165.41,30.99,92,90,24.16
115,Khanapur,IN,2020-12-23 03:08:37,15.63,74.52,62.6,67,6,4.7
